"","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","Age.disc","primera","genero","FamilySize"
"1","0","3","male",22,1,0,"A/5 21171",7.25,"Sin camarote","S","20-29",0,0,2
"2","1","1","female",38,1,0,"PC 17599",32.0966808773903,"C85","C","30-39",1,1,2
"3","1","3","female",26,0,0,"STON/O2. 3101282",7.925,"Sin camarote","S","20-29",0,1,1
"4","1","1","female",35,1,0,"113803",53.1,"C123","S","30-39",1,1,2
"5","0","3","male",35,0,0,"373450",8.05,"Sin camarote","S","30-39",0,0,1
"6","0","3","male",29.6991176470588,0,0,"330877",8.4583,"Sin camarote","Q","20-29",0,0,1
"7","0","1","male",54,0,0,"17463",51.8625,"E46","S","50-59",1,0,1
"8","0","3","male",2,3,1,"349909",21.075,"Sin camarote","S","0-9",0,0,5
"9","1","3","female",27,0,2,"347742",11.1333,"Sin camarote","S","20-29",0,1,3
"10","1","2","female",14,1,0,"237736",30.0708,"Sin camarote","C","10-19",0,1,2
"11","1","3","female",4,1,1,"PP 9549",16.7,"G6","S","0-9",0,1,3
"12","1","1","female",58,0,0,"113783",26.55,"C103","S","50-59",1,1,1
"13","0","3","male",20,0,0,"A/5. 2151",8.05,"Sin camarote","S","10-19",0,0,1
"14","0","3","male",39,1,5,"347082",31.275,"Sin camarote","S","30-39",0,0,7
"15","0","3","female",14,0,0,"350406",7.8542,"Sin camarote","S","10-19",0,1,1
"16","1","2","female",55,0,0,"248706",16,"Sin camarote","S","50-59",0,1,1
"17","0","3","male",2,4,1,"382652",29.125,"Sin camarote","Q","0-9",0,0,6
"18","1","2","male",29.6991176470588,0,0,"244373",13,"Sin camarote","S","20-29",0,0,1
"19","0","3","female",31,1,0,"345763",18,"Sin camarote","S","30-39",0,1,2
"20","1","3","female",29.6991176470588,0,0,"2649",7.225,"Sin camarote","C","20-29",0,1,1
"21","0","2","male",35,0,0,"239865",26,"Sin camarote","S","30-39",0,0,1
"22","1","2","male",34,0,0,"248698",13,"D56","S","30-39",0,0,1
"23","1","3","female",15,0,0,"330923",8.0292,"Sin camarote","Q","10-19",0,1,1
"24","1","1","male",28,0,0,"113788",35.5,"A6","S","20-29",1,0,1
"25","0","3","female",8,3,1,"349909",21.075,"Sin camarote","S","0-9",0,1,5
"26","1","3","female",38,1,5,"347077",31.3875,"Sin camarote","S","30-39",0,1,7
"27","0","3","male",29.6991176470588,0,0,"2631",7.225,"Sin camarote","C","20-29",0,0,1
"28","0","1","male",19,3,2,"19950",32.0966808773903,"C23 C25 C27","S","10-19",1,0,6
"29","1","3","female",29.6991176470588,0,0,"330959",7.8792,"Sin camarote","Q","20-29",0,1,1
"30","0","3","male",29.6991176470588,0,0,"349216",7.8958,"Sin camarote","S","20-29",0,0,1
"31","0","1","male",40,0,0,"PC 17601",27.7208,"Sin camarote","C","30-39",1,0,1
"32","1","1","female",29.6991176470588,1,0,"PC 17569",32.0966808773903,"B78","C","20-29",1,1,2
"33","1","3","female",29.6991176470588,0,0,"335677",7.75,"Sin camarote","Q","20-29",0,1,1
"34","0","2","male",66,0,0,"C.A. 24579",10.5,"Sin camarote","S","60-69",0,0,1
"35","0","1","male",28,1,0,"PC 17604",32.0966808773903,"Sin camarote","C","20-29",1,0,2
"36","0","1","male",42,1,0,"113789",52,"Sin camarote","S","40-49",1,0,2
"37","1","3","male",29.6991176470588,0,0,"2677",7.2292,"Sin camarote","C","20-29",0,0,1
"38","0","3","male",21,0,0,"A./5. 2152",8.05,"Sin camarote","S","20-29",0,0,1
"39","0","3","female",18,2,0,"345764",18,"Sin camarote","S","10-19",0,1,3
"40","1","3","female",14,1,0,"2651",11.2417,"Sin camarote","C","10-19",0,1,2
"41","0","3","female",40,1,0,"7546",9.475,"Sin camarote","S","30-39",0,1,2
"42","0","2","female",27,1,0,"11668",21,"Sin camarote","S","20-29",0,1,2
"43","0","3","male",29.6991176470588,0,0,"349253",7.8958,"Sin camarote","C","20-29",0,0,1
"44","1","2","female",3,1,2,"SC/Paris 2123",41.5792,"Sin camarote","C","0-9",0,1,4
"45","1","3","female",19,0,0,"330958",7.8792,"Sin camarote","Q","10-19",0,1,1
"46","0","3","male",29.6991176470588,0,0,"S.C./A.4. 23567",8.05,"Sin camarote","S","20-29",0,0,1
"47","0","3","male",29.6991176470588,1,0,"370371",15.5,"Sin camarote","Q","20-29",0,0,2
